observed,location_details,county,state,season,latitude,longitude,date,number,classification,temperature_high,temperature_mid,temperature_low,moon_phase,summary
"I was driving to Wichita Falls Texas with my family. I was looking out the window and saw this big black figure running fast on two legs. It ran off a hill into a little valley. It was dark black, had long arms, running way too fast for a person, black fur, 7 to 8 feet tall, wide shoulders, had a long neck. I couldn't see its face, but I saw its head and it was kind of oval. I saw it at least 4 to 5 seconds and then it disappeared into the trees.",281 North,Jack County,Texas,Summer,33.275,-98.325,7/2/16,55121,Class A,99.27,90.235,81.2,0.94,"Partly cloudy starting in the afternoon, continuing until evening."
"I think I may have seen a Sasquatch near the Montgomery Game Ranch in Jack county last night, slightly before midnight.  A few friends and I were dirt road driving through several very wild and remote parts of our county. We stopped to look and listen. I put my generation one night vision monocular on the edge of a clearing. I noticed a large, black, and roundish shape. I thought it might be a cow but when I focused on it, it stood up slowly on two legs, appeared to be very tall, and took three or four really long, liquid, and smooth steps to get behind a nearby mesquite tree. It appeared to be a huge, man like figure. It appeared to me to be moving slowly to avoid detection, i.e. moving slowly and smoothly with no sudden movements. I tried to zoom in but all I could make out was a huge black shape behind the tree. I was not able to record it and I was the only one in the group who saw it. It's size and the fluidity of its movements are what stuck in my mind the most. It was more coordinated and smoother than even a wild cat. After growing up on a cattle ranch in this part of the country and spending many years as a park ranger, I have seen many wild animals. This was like nothing I have ever seen before. I can't say for sure I saw a Sasquatch but feel strongly that I might have.","Incident occurred near several huge wild game ranches, very remote area.",Jack County,Texas,Summer,33.375,-98.3,7/18/16,55236,Class B,96.9,87.03,77.16,0.45,Partly cloudy in the evening.
"I am 28 yrs old, a U.S. Marine Veteran and recently moved to Texas last April.  I didn't see anything, but I feel I heard vocals.  I was hunting on opening of rifle season for whitetail deer in east Texas, Jasper county.  It was about 5 am and I just climbed into my deer blind.  about 15 minutes after I sat down I heard a very distinct med-high pitch howl no more than 100-150 yards away to the left.  it was about the same pitch as a coyote call, but it maintained a constant pitch and suddenly stopped.  It lasted for about 5 seconds.  about 5-10 seconds later I heard a response call that was a much lower tone at the same distance to the right.  It was about the tone of an owl, but again, maintained a consistent pitch that just stopped and it didn't have breaks like an owl sound.  Again the response was about 5 seconds.  I shrugged it off thinking this wasn't real.  About 5 min later I got out of my blind and walked to my truck to get binoculars and I thought I heard something that sounded like a person saying, ""Hey You"" but the speech was very low and very gargled.  I thought to myself, "" I will go about my way and leave whatever it is alone and it will probably leave me alone.""  I got back in my blind and resumed hunting.  I cannot explain what I heard, but I know for a fact it wasn't a coyote or an owl.  I just can't explain it.  Thank you for reading and look forward to hearing from you.",Hunting lease,Jasper County,Texas,Fall,30.7114,-94.04529,11/2/13,42473,Class B,72.13,57.605,43.08,0.97,Clear throughout the day.
"I was driving to work this morning on a long stretch of road (CR 32) 20 miles from Jasper, Texas and saw in a distance a black object I thought to be a wide or 2 seat ATV on the road.  This is not unusual so I did not think much about it.  As I got closer it went to the side of the road (not unusual for ATVs either).  I slowed down because I was approaching what I thought was the ATV and it went into the ditch. As I approached a big black thing stood up lifted up his leg and crossed a log, going into the forest. It had been bent over until I got close to it, I guess. I can not explain what it was. When it crossed the log it disappeared into the forest. I know exactly where it crossed and I have asked my husband to go and look for foot prints. I have never believed in Big Foot but I can tell you this is not anything I have ever seen in my 53 years of life! When I got to work this morning I shared what I had seen with co-workers.  One of them suggested I write you and gave me your website information.",,Jasper County,Texas,Spring,31.05591,-94.20776,3/25/14,44678,Class B,66.3,53.24,40.18,0.82,Clear throughout the day.
"My son and I were driving at 10mph north on Bragg Rd. to see its famous swamp gas lights, with just my parking-lights on. As we neared the end of the road, within sight of the farm-road, a large, solid-black animal came out of the woods on the east side of the road, walking slowly on two legs. It was between 7-8 feet tall, and solid-black. It looked like it had a healthy-weight, more than a human. Definitely not a black bear! It appeared trim and muscular, with it's long arms hanging down past it's knees. It's upper-profile reminded me of ""Homer Simpson"" (best description I can think of). The thing was about 20ft. from the front of the pick-up, causing me to come to a stop. It knew my truck was there, but it continued it's slow pace, seemingly without care. The scariest part of the encounter was when it paused and looked at us. It's eyes reflected like glowing embers when the parking lights from my truck hit it. The thing continued walking, stepping over the road-grade and continuing into the forest. I stopped my truck and I could still hear it crunching around in the woods out of sight now as it walked away. I am a retired combat veteran and I don't scare easy, but I was. We left immediately. My son only caught the tail end of the sighting but confirmed he saw something. The dirt road was well packed so I couldn't see any footprints left behind. It was very unsettling for me because it looked so human, and because it had the size and presence that it could have harmed us or done serious damage to my truck if it wanted to. I used to enjoy hiking and sleeping alone in the woods at night in my hammock, but not anymore. I know what's out there with me now in the woods!",100 meters from the end of Bragg Rd. at FM1293.,Hardin County,Texas,Spring,30.19144,-94.32404,4/16/19,62746,Class A,76.63,71.05,65.47,0.41,
"I live near the Comal and Hays county line in Texas. This is hill country right on the Devil's Backbone.  This area has lots of heavy oak and juniper with several spring fed rivers; Guadalupe with Canyon Lake near and the Blanco just to the north. September 2012 on a weekend I was enjoying a moonless night packed with stars. I began to hear dogs barking in the distance to the west. More local dogs started barking. I was expecting to hear the coyotes to chime in as they often do on the hill behind my place. Instead my two 100+lb boxer/labs started going nuts. They would not leave the porch to go into the woods as they often do chasing pigs, coyotes or the neighbor's bull.  I had been out on the driveway and went up on the porch. I stood there and tried to get the dogs to go after whatever it was. I tell you the wind was out of the south. Reason being, as I stepped around the corner of the house something big let out a holler, I can not explain. I think it smelled me then. It was close, probably within 20 yards?  Just past where I have cleared all the trees .  The holler, yell was so strong it felt like it shook my insides. Vibrated.  Everything went stone quiet. All the neighboring dogs and mine went totally silent.their hair on their backs was raised and they were locked on something down hill.  Then off to my right, heading up a tight valley I heard wild pigs grunting and then the sound of a couple raccoons?  I couldn't, understand why they would be together?  Then after a few short minutes the dogs up hill started going nuts and then beyond. Like something was moving fast and the dogs were picking up on it.  I told my dogs to go on down the hill into the woods, they did no problem. Never heard again, I wonder what may have happened if I had gone down there without my dogs?",RR 32 Devil's Backbone Texas Hill Country.  John Knox Mail Route Road area.,Comal County,Texas,Fall,29.79893,-98.15556,9/15/12,43229,Class B,79.62,73.275,66.93,0.98,Mostly cloudy throughout the day.
"On January 9th, 2015 @ about 5:20-5:30 p.m. at Canyon Lake, Texas, my family and I were backing out of our drive way, and the weather was bad that day, kind of hazy, misty rain, and it was about 37 degrees. I had my high beams on because it was beginning to get dark outside.  As I backed out of the driveway my lights caught the attention of a very big creature about 9 foot tall grayish blonde in color with a 4 to 4 1/2 ft across from shoulder to shoulder, standing in front of an oak tree, it turn towards me from about 40 yards away, and it stood with its arms down at it's side, I asked my son to look and I looked away briefly, when I looked back it was gone.  The following Friday my wife and step daughter, while walking along the shoreline of the lake, discovered a bloody and strange deer kill site (fresh kill), the deer's neck was broken and twisted all he way around, lungs, heart, and liver were gone and the deer's intestinal content was thrown about, the back half of the deer was eaten,the front shoulder was eaten,but not the other shoulder. I called the BFRO and left a message, J.D. from San Antonio came out and took pictures of the scene, I asked him if I should roll the deer over because of the shoulder bone sticking out.  After rolling over I pulled the hide back and there was a sharp edged stone underneath the hide with flesh and blood on the stone--I kept this stone--there was also a 10 feet dragging kill-blood streak across the rocks, then it abruptly stops, and the deer's carcass seems to be thrown about 15 feet from that spot with no blood stains in between the two spots.  Upon further investigating I discovered a 5 foot long stick about 1 1/4 in diameter-rigid, with a sharp end on it, and the end of it had deer hair and flesh on it, like it was used to either stab the deer or just to hold it down, then it broke the deers neck, the kill was made from the waters edge side not the woods side, meaning the thing that killed the deer was hiding in the water...I also discovered tracks some were 19 inches long but were not castable, not enough definition, also found some tracks that were 14 inches long, and some 11 inches long along the shoreline down from the kill site, all of them were not castable it had also been raining that whole week off and on.  Upon even more research we discovered At least 5 other deer carcasses in the general area.  Called area fish and game warden out and she walked the area and observed all of the evidence on Sunday January 18th..","Canyon Lake near Startzville, Texas",Comal County,Texas,Winter,29.52533,-98.15854,1/9/15,47702,Class A,39.53,36.385,33.24,0.64,Overcast throughout the day.
"My son and I went trespassing up the Greenbelt Trail north of HWY 380, which has been closed for a couple years I believe due to flooding. A mile up the trail, we heard a distinct knock, though the distance almost made it sound like two rocks clacking together. My son also said he heard a whistle. As we retreated back to the parking lot, I snapped several pictures aiming behind me over my shoulder. One of the pics may have caught something interesting?  It appears, to me, to be a figure crouching next to a tree, with exposed skin on the face.",,Denton County,Texas,Winter,33.25,-97.05,11/25/17,58557,Class B,71.85,58.84,45.83,0.22,Clear throughout the day.
"Approx. 3:40am, Dec. 20, 2017 went outside before work. Across from my house is all country, Corps of Engineer land, north end of Grapevine Lake, Denton County, Texas. Across the road of my house maybe 200 ft, I heard three loud knocks followed by a single one. A few seconds later, I heard something answer back with three knocks about a half mile away deeper in the woods.....tree knocks. The hair stood up on the back of my neck. It was dead quiet before all of this. I do know there were no kids in the woods, nor did I see any flashlights.",south of Argle Texas and north of Roanoke 1.8miles east off of Hwy 1171,Denton County,Texas,Fall,33.04,-97.18,12/20/17,58855,Class B,61.6,55.1,48.6,0.08,Foggy in the morning.
"My roommate and I were smoking on my back porch about 9 p.m. I live in Fannin County on Bear Creek, a feeder to the N. Sulphur, out of no where, we start hearing hollering down in the creek. Loud howling!! Only it sounded as if a very large Curly of ""three stooges"", yelling whoooooop, whoop, whoop, whoop, whoop. Absolutely clear as day and so loud!! For like 15-20 min. Up and down the creek, almost no diminished sound though. It sounded, for the life of me, like a mother calling a child back home. Never heard it before.",,Fannin County,Texas,Summer,33.445,-96.05,7/15/15,50045,Class A,95.09,84.64,74.19,0,Humid throughout the day.
"Had an awesome experience the weekend of July 26th 2019. While camping with my son and his 2 friends, at Eisenhower State Park, in Texas. We were sitting around the camp fire at night, about 9:15 pm, we all heard two howls south of our camp sight. Very deep howls, each lasting 5 to 7 seconds long each, with a small pause between. About 10 seconds later, another howl north west of camp. Higher pitch and feminine sounding. There are no Wolves or Coyotes in this area. Didn't sound like a dog or anything I've ever heard before. The boys, all over 18, were really excited and stood up looking around. They were not believers in Bigfoot, but that got them talking about the possibilities.  About 20 minutes later, while still sitting there, we heard a ""Whoop"" pretty close by. That was the point when they no longer thought i was just a weird Dad who believes in Bigfoot. Through out the night any sound we heard, we all discussed and scrutinized it. Best part of it all. I never spoke of Bigfoot until that point and they were the ones making the connection. The next morning we hiked all around the woods looking for any signs, but found nothing solid. It could have been something else, but from my experiences, it was real. Another big bonus for me is now my son is interested in going out with me, to research and hunt for of forest friend. I feel truly blessed that my son and I, were able to experience this together. And now did doesn't think I'm as crazy anymore. Win win win.",Fossil Ridge Camp site 153,Grayson County,Texas,Summer,33.825,-96.6075,7/26/19,63243,Class B,87.2,76.245,65.29,0.81,Clear throughout the day.
"Ok, this happened about 2 years ago or maybe 2 1/2. I live on 10 acres of woods. All around me is woods. I was just falling asleep during a cool summer night. The 3 dogs I have lived outside in their pen I built. The dogs bark now and then at night but usually quiet down, being that they are used to noises. They started barking that night so I sat up in bed and yelled ""no"". They stopped but after a few seconds they were barking very loud and unusual. I thought that it may have been a wild hog that we see every so often. I got up and heard some movement below my bedroom window, which is about 6 feet above the ground. I grabbed my 357 and stood up. I heard something like foot steps but they sounded like a very heavy person taking huge steps, but not running. I took off out the front door and turned the outside lights on with the dogs still barking wildly. I had a flashlight, pointed it where the steps were at, only to see nothing. But, I did smell a strong odor of a skunk but not that harsh smell. I laid back down a few minutes later and finally gathered my thoughts together and called 911. I was wondering how I was going to report this. I talked with the 911 operator and was kind nervous when talking with her. She laughed and said something like its OK, an officer will be there. I didn't want the officer coming to the house unless they were able to find something. No one came, so the next morning came I found myself looking for anything on the ground, no foot prints due to carpet grass that was pretty thick. No fur and no more smell.",If needed you can call me.,Guadalupe County,Texas,Spring,29.30877,-97.47971,5/15/10,40420,Class B,84.62,76.525,68.43,0.06,Heavy rain in the morning.
"Myself, my wife, and 4 children were on our way back home from church on rural dirt road, Old Joy Shannon Road. At the edge of my headlights something appeared on the side of the road. I slammed on my brakes, and before we stopped it, he'd crossed the road. It had taken one step onto the middle of the road and the next was on the other side. Then it went over a barb wire fence with a step. We sat there trying to make sense of what we had just seen and the only thing we could think of is sasquatch. This has changed our whole outlook on what might be out there.",Fm 148 between Henrietta TX and Jacksboro TX then FM 172 to Bluegrove TX and Scotland TX,Clay County,Texas,Summer,33.675,-98.225,6/17/15,51612,Class A,73.15,71.57,69.99,0.04,Heavy rain throughout the day.
"Me my dad my cousin, my brother, and my uncle were Elk hunting by State line reservoir Utah.  My uncle and my cousin split up and the rest of us went one way.  It was getting dark we headed to a meadow to meet my cousin and uncle.  We are waiting for them so we sit down on a log.  My uncle and cousin are still a ways away.  Then in the back of my head felt like someone was watching me.  Then we here 2 very distinct wood on wood knocks in front of us.  Then we heard 2 behind us.  Then 2 more in front of us.  I got up and knocked back and in the distance we heard another bigger one.  We also a bit later heard a single knock even closer behind us.  I did some rock clacks and after a while I herd something move behind us.  On our way out my uncle herd one knock.","coordinates  40.9858333, -110.3961111 right by State Line reservoir in The Uinta's",Summit County,Utah,Fall,40.98583,-110.3961,11/14/21,71803,Class B,48.84,43.025,37.21,0.37,Partly cloudy throughout the day.
"This occurred after work. I stopped by the park on my way home to try out some new camping equipment.  There are two entrances to the park; the main entrance off of Hwy 16 and the one I like because it's more wooded off of Applewhite Rd. Some new trails are being made because of some flooding that occurred in the area last year so there are some trees that have been cut down. One of these trails has a wooden fence with a ""No Trespassing"" sign on it. I ignored the sign and made my way to the river. I made a small fire and began fishing. While I was fishing I started to hear loud banging. I turned around to see if i could see what was making the noise but saw no one. We do have Woodpeckers but this was no woodpecker. I thought nothing of it and continued fishing. A few minutes went by and I heard a loud moan. Like a wail. Again, I turned to look around and saw no one. I started thinking, ""Okay, someone has got to be messing with me."" I kept on fishing when out of the corner of my eye something moved and I heard a very loud splash. I did not see what was thrown into the water near me but it was big. A big rock or log is my guess. It made a giant ""SPLOOSH"". Something threw a BIG something in the water. After that I packed up and made my way back up to the trail. On my way back I heard the wood knocking again and I attempted to reply. I followed the three knocks I heard with three of my own. No reply. The whole time I walked back to my truck I had the feeling I was being watched. I stopped and looked around but saw no one. If someone was there they were well hidden and light on their feet because I didn't even hear footsteps. The area is wooded and there are leaves and branches everywhere so I'm sure I would have heard twigs snapping or leaves rustling if someone was there. When I got back to my truck I saw a jogger and his Lab going for a drink from the broken water fountain. I offered the man some bottled water for him and his dog. He thanked me and I took the opportunity to ask him if he had heard the same knocking or banging I had. He had. He said he and his dog stopped to listen but couldn't figure out where it was coming from. The road/highway divides the park. This man was on one side and I was on the other. This part of the highway doesn't get a lot of traffic so it wasn't traffic I heard. One more thing I think you should know is that this area has a legend called The Donkey Lady. All teenagers in San Antonio know of this legend. It is said if you cross her bridge you will hear her ""hooves"" pounding the road and things will be thrown at you. This legend has been around for many many years. After what happened yesterday,  I'm starting to think Donkey Lady Bridge isn't haunted by a ghost but occupied by something real. I'm not convinced Bigfoot exists because I need to see it but my wife believes and she suggested I report it to you guys. We often go hiking on these trails with our children and she likes to point out, facetiously, Bigfoot nests and food sources. We are an outdoorsy family and we live in the country where at night we hear owls and coyotes and know what predators and their prey live in our area and what noises they make. This was none of those animals.",Incident occurred in the Medina River Natural Area off of Hwy 16.,Bexar County,Texas,Winter,29.26258,-98.56143,1/22/14,43952,Class B,69.83,60.89,51.95,0.7,Clear throughout the day.
"Traveling west on Highway 60 out of Brazos County TX into Burleson County TX , 200-300 yards after crossing the Brazos river I seen a large dark object on the side of the road. I was traveling about 80mph,so I passed it rather fast, this dark object rose up to a standing position and took a leap into the darkness. I was raised in the mountains of upstate South Carolina, hunted and fished all over from Montana to Argentina. I've seen all kinds of animals,  but I have never in my life seen anything like this. The river and areas has been severely flooded as Hurricane Harvey just came though this area, over 30 inches of rain in 2 days. I never really believed there were bigfoot, if so why has no one found a body or bones, or God forbid shot one of these beings.  Well I am here to tell you, I now am a believer and it doesn't bother me if people call me a liar or crazy. I have nothing to gain from this and frankly don't care what anyone says, I know what I saw and I am now a believer that bigfoot is real, no doubt what so ever......","200-300yds west of Brazos River, just into Burleson County TX",Burleson County,Texas,Summer,30.55738,-96.42506,9/2/17,58152,Class B,91.95,82.145,72.34,0.38,"Humid throughout the day and mostly cloudy starting in the afternoon, continuing until evening."
"My 5 year old granddaughter was riding her toy 4 wheeler in our backyard while my wife was sitting reading. She rode to my wife and told her to come see and hurry, my wife walked as fast as she could but by the time she got there whatever it was was gone. When we asked what she saw she described something tall and hairy that was watching her. She said it was brown with hair like grass, taller than her father but, she didn't see any eyes. It had hair that stood up on top of its head. She swears it was not a cow in the pasture next door.",Specific address omitted.,Cass County,Texas,Fall,33.17162,-94.14799,10/23/14,46641,Class B,70.22,58.885,47.55,0.99,Clear throughout the day.
I was climbing down with my climbing deer stand when the strangest howl came from directly behind me. I grew up in a swamp I know what all the night animals sound like. This was blood curdling. I have heard it before and did not see a deer there the rest of the year. I quit hunting that marsh this year after that howl. I did not have a deer picture since 11-23-14 in that area.,"The Green Farm, Wright Patman Lake",Cass County,Texas,Fall,33.2784,-94.12258,11/29/14,47408,Class B,76.12,69.455,62.79,0.26,Mostly cloudy in the morning.
"I drive the same route every evening to work a night shift at a hospital in Atlanta Tx.  I drive from near Avinger Tx to Atlanta down Hwy 155.   I was running late and got behind a guy towing a boat and he was going well below the speed limit so I took the first opportunity to pass him. He sped up causing me to have to speed up to pass and as soon as I got around him a state trooper came over the hill and I was flying, about 85 mph.  I knew I was in the wrong but the hwy takes a right turn and there is a county road to the left (cr 1579).  I turned there really quickly before the trooper was able to see me and he flew past the turn off and missed me. I did not really know where I was after I turned right on CR 1580 and it dead ends at Black Cypress Creek.  I turned around and started back the way I had come and glanced in the rearview mirror and that is when I saw it cross the road about 75 yards behind me.  I have a dash camera on the front but not on the back.  I tried to swing it around to get it on film but the footage was terrible. I know what I saw.  It was at least 7 ft tall and black as a hog but had to weigh over 400 lbs.  It was a freak encounter but I know what I saw.  I never believed any of this but there is no doubt at all.  It was looking at my jeep as it crossed behind me and then it was just gone.  I have not been back there and I am not sure if I will go back.",Its in the story below,Cass County,Texas,Spring,34.03789,-94.32321,5/30/19,62926,Class A,83.41,72.305,61.2,0.89,Light rain in the morning.
"So I am an avid hunter and I used to hunt the Corps of Engineers land on the Texas side of the Red River. I was going to get my trail camera and check the pictures for any sign of wild hogs moving along the river and eating at the bait I had set up. When I pulled up to the parking area, I was the only truck there. It’s hot in the summer and in those woods there is little breeze. It’s about a 20 min walk through the woods to the camera. So I had navigated my way through the brush and had come around the old piece of original bridge supports and turned slightly north west and something yelled at me about 100 yards away, through the woods. It’s hard to describe the noise. It didn’t taper off, just a blast. I froze, and I don’t know why, but my instinct was to “whoop” at it. I “whooped” and it remained frozen too. I knew where it was but I couldn’t see it through the trees. I raised my rifle to locate whatever it was through the scope. I systematically started searching, and all of a sudden, it tore off through the woods. I saw a glimpse of it through the scope as it took off. What I saw is difficult to explain but you know how a skiers legs look them they are crouched, it was like that, like a spring compressing the knees to unleash power. The sun shone through the trees and I could see the legs had reddish brown fur but was shaggier than a deer. Almost like course hog hair but was soft. Everything about this makes me want to say it was a deer. The fur color, the legs bent, I would even entertain a deer having shaggier fur. But the yell is what makes me know it was something else. It’s yell was intimidating and demanding. It knew I was there and was letting me know it was there. After it ran off, I was filled with a sense of dread and had to talk myself out of not going back to the truck and leaving the camera.",You can park by the bridge crossing the Red River and walk down into the Corps of Engineers land.,Clay County,Texas,Summer,34.125,-98.105,7/30/18,63492,Class B,89.28,78.3,67.32,0.6,Rain in the morning.
"Not certain of the exact date of this occurrence, but I was lying in bed awake about 3am and was startled by what sounded like something pushing up against and rattling the vinyl siding on our house. This woke Lisa my wife up. I went outside with a flashlight but didn't see anything. We didn't think much of this at the time. Then we had two other occurrences within a two week time span. On Friday, November 16, around 6:15pm my wife and myself were almost home from our daily walk and while at the intersection of Northridge and Old Saltworks Rd., approximately 200 yards from our house we both heard and were surprised by a very loud, deep, guttural sound that was something between a growl and a roar. It only lasted for a couple of seconds. It was very voluminous and powerful. We just stopped and asked each other what on earth did we just hear. Then the incident that was the icing on the cake that made us come to this website and file this report, occurred on Friday, November 23 around 9pm. I shined a light behind our house to see if there were any deer out feeding. About 160 yards from our deck in a small patch of woods behind our house I saw two, large, brilliant, emerald green eyes, which were the shape of human eyes, but were about 7-8 inches apart. This freaked me out. I am an experienced outdoors-man and have logged several hundred days afield over the past 35 years. I have walked for hours by flashlight to get to hunting stands and have never ever seen eyes this shape and of this brilliance and set this far apart before. Before these occurrences I was very skeptical of all the Bigfoot stories and sightings I have seen or read about, but now I am open to the possibility that there is something out there that could fit the description of a Bigfoot. What we heard was very unique, and combined with the eye shine I saw, has changed my mind and opened me up to the possibility of a Sasquatch type creature lurking in the shadows. This is very exciting!","26485 Old Saltworks Rd. Meadowview, VA 24361 We are northeast of the intersection of Northridge and Old Saltworks Rd.",Washington County,Virginia,Fall,36.76377,-81.9107,11/16/12,37817,Class B,54.44,41.175,27.91,0.1,Clear throughout the day.
"October 16, 2012, between 2 and 3 am.  My wife and I were on our Honeymoon in Linden, VA. We rented a cabin for the week. During the night, I woke up to a sound similar to what I thought was our dog dragging a suitcase across the hardwood floor.  But she was in fact, in bed with us, on point looking out the bedroom window. The draggin sounds were long footsteps coming from outside. We listened to them for about 20 seconds or so as they were getting closer.  A silhouette then quickly, but smoothly, passed right by the window.  We quietly listened until we could not hear anymore footsteps, and then talked about what it may have been for a little while until we decided to just go back to sleep (our dog ALWAYS growls and barks at people, but she didnt, so we figured it was just an animal, or a tree limb swinging past the window).  October 17th, 2012, 1pm.  We decided to take a walk on the Appalachain Trail being it runs just a couple hundred yards from the cabin.  About 35 minutes into the walk, we both heard the most bone chilling growl.  It was so low in tone that we actually felt it in our joints and ribcage.  it lasted a few seconds before we high tailed it out of there.  There was no way after hearing that, that I was going to stick around, unarmed, with my family.  The growl wasnt loud at all, it was just bone rattling deep.  Listened to hundreds of soundbytes of animals to compare to, but nothing came even halfway close to what this was.  Ive personally heard wild cats, dogs, and bear through years of hunting, but this was something almost out of this world sounding.  Note that nothing was seen on the trail that day, but dont blame me for getting outta there ASAP.  All I could think about was getting back to the cabin with my wife safely.","109 Trillium Trail Rd, Linden, VA.  About a mile southwest of cabin at stated address.",Warren County,Virginia,Fall,38.9593,-78.02081,10/17/12,36850,Class B,62.61,52.595,42.58,0.08,Partly cloudy until afternoon.
"About a week ago I woke up early in the morning, about 3:30 a.m. to a loud banging noise, like multiple woodblocks slamming. It happened several times for about 10 minutes then ceased. I thought nothing of it. Then two mornings ago I awoke and went out back to let my dog out, around 7 am, and I heard a loud clear whoop noise coming from the same general direction of my back yard. Take note, my back yard is miles of state property containing dense woods, and a canal. I have yet to hear anything like that again.","Near Fenwick Drive, by the canal on Princess Anne Rd.",Virginia Beach City County,Virginia,Spring,36.7586,-76.0418,5/19/12,35467,Class B,70.78,66.485,62.19,0.96,Partly cloudy until afternoon.
"My husband and I where sitting on the front porch one evening when what I thought was a bear caught my attention on the edge of the tree line. I told my husband to look at the bear and he stated that was not a bear because it was to large. We continued watching for approximately two minutes when a deer darted out from the tree line. The dark mass I thought was a bear then stood up and chased the deer into the woods. My husband and I looked at each other in disbelief at what we had just saw. It was too far away to get great detail of the animal but close enough to tell that it was very large and dark brown / black in color. After seeing it chase the deer on two legs back into the forest, I knew instantly that no bear could have ran so fast and so graceful on two legs.  The next evening my husband went to the same spot in the tree line while I stayed on the porch so we could compare the sizes between the animal and him. My husband is 5 foot 10 and what ever we saw was at least 1 and 1/2 - 2 feet taller than he was.",In front of 410 Dry Fork Road at the edge of forest tree line,Smyth County,Virginia,Fall,36.73225,-81.62195,9/12/11,42643,Class B,75.74,63.565,51.39,0.52,Mostly cloudy starting in the afternoon.
"I live about 3 miles west of Collierstown, VA, in the heart of the Appalachians. Around 7pm yesterday evening, 1/9/2021, I went out on my porch to listen to coyotes (which I hear some nights), and about a minute after the coyotes stopped I hear a very high pitched wail or moan that was in three intervals, each with higher pitched succession, coming from the next mountain ridge to my east. The tone, and duration of the wail or moan, was unlike anything I have every heard, and sounded out of place. It did not sound like the normal coyote sounds. It was very strange and made the hair on my arms stand up. I live in a very remote region of the Appalachians, about 15 miles southwest of Lexington, VA. I am an avid outdoorsman and an expert with most animal sounds in the region. I could not identify this sound.","A cabin, located off Little Dry Hollow Rd. (A gravel Road), about 25 minutes southwest of Lexington, VA. Situated about 5 miles south of Big House Mountain. [Investigator Note: Approx howl location: 37.7592566, -79.5912031]",Rockbridge County,Virginia,Winter,37.75926,-79.5912,1/9/21,67485,Class B,47.18,35.4,23.62,0.89,Clear throughout the day.
"While on a training exercise in Ft. Pickett, VA., I was positioned in an observation point overlooking a camp. I was lying low in our hide providing over watch while my team member attempted to move in to within approximately 75 yards of this camp. It was at this point when three distinct knocking sounds spread no more than 1 second apart, were heard from our 6 o’clock position. The distance appeared to be within 100 yards. After a very short pause of about three, maybe five seconds, there was the sound of a large branch or small tree breaking in half. The noise was so loud that everyone in the camp grabbed their flashlights and searched the tree line towards the direction of the sound. We were almost compromised by this noise, but as quickly as the sounds were heard, the forest fell silent. Unfortunately, no one was able to further investigate those sounds due to our focus being the exercise and not the wild life. Approximately two, maybe three hours later, one of the cadre was listening to a range radio and overheard a conversation between an adjacent range and range control. The conversation spanned only a few minutes, but in summary it went like this: “Range Control, this is range #... umm, there is a Bigfoot walking across the range!” This range was only a few kilometers from our location. Early the next morning, maybe 5am, one of the members of our team had to depart the training environment so he was given a coordinate to meet for ex-filtration. He arrived early and waited until the extraction team arrived. During his time alone, he commented that he heard loud foot steps behind him. He was not sure if it was a large deer coming to investigate or what, but he said it came very close to him. So close that he was hearing this animal breathing behind him only a little ways off. He said he felt uneasy and didn’t dare turn around because his initial thought was that it might just be a buck that would become startled and attack him. A few moments later, the animal departed and shortly after he was extracted. He didn’t want to think of this animal as anything but perhaps a deer. After the exercise, we spoke with the role players about that night. They all heard the sound and thought one of us was trying to play a game with them or that one of us had fallen down the side of an embankment causing the loud noise. Once we advised them that it was not us, they just went silent and didn’t speak of it any further. The strange thing is that earlier that night I had this eerie feeling, like something was watching me from behind. My reaction at the time was to grasp my knife and prepare for whatever may come next. It never reached that point, but my senses were heightened and I found myself scanning my surroundings more often with my night vision. Due to the nature of my work, I cannot go into great detail as to the exact month or day, but I can mention that it was in the early months leading up to spring. But I cannot deny that there is something other than normal wild life in the woods surrounding Ft. Pickett, VA. ",,Nottoway County,Virginia,Spring,37.047,-77.90815,4/16/11,33256,Class B,67.94,56.655,45.37,0.45,"Heavy rain until afternoon, starting again in the evening."
"It was in Christiansburg Virginia, just outside of town limits. We live on the edge of the wood line. There are several hundred acres back behind our house. We lease some of the property for hunting and riding our ATV's. It was mid day on a Sunday. Me and my husband were on his ATV going to check on a trail camera he had put out a couple days before. It takes a while to get to the location of the camera. The terrain is very unforgiving. We had stopped in the holler and the camera was on top of the ridge. My husband walked up to the camera to where I couldn't see or hear him anymore. I was sitting on the four wheeler in total silence. All of the sudden I heard this horn like yell. It sounded like a cross between a man yelling as loud as he could and a horn blowing. It wasn't extremely loud. I just sat there on the four wheeler. I couldn't process what I had just heard. I am constantly in the woods and have seen and heard every animal that is in these parts of the woods, and I've never heard anything like that before. When my husband got back to the four wheeler about 10 minutes later I asked him if he heard that and he said he didn't. There is a train near that area, but I work right beside train tracks and I know what sounds a train makes and this was not a train.",,Montgomery County,Virginia,Summer,37.15814,-80.36054,8/15/12,40362,Class B,74.81,66.74,58.67,0.93,Mostly cloudy until evening.
